edrpou_hosp,legal_entity_lat,legal_entity_lng
42244782,"49,248849","24,627802"
05483138,46.973613,32.01963
01998839,47.538948,30.75284
02006455,50.59703,32.36588
02006544,51.50756867,31.33888028
01986256,47.977521,33.41943
38548802,"48,714925","23,178334"
01994132,50.3459735,30.94613601
01993701,50.4721263,30.46868889
26136949,"48,453801","35,069464"
39017488,48.47667,37.0826
02006707,47.896871,35.15629
01983677,49.52100388,39.56206651
01981520,51.94249478,33.77534737
01998360,46.85213,31.39489
01999460,50.25128662,32.50631251
38440115,"50,116263","25,692953"
05396876,46.662659,32.64842
01982933,50.742481,24.64578
01999595,"49,572733","34,579136"
01999655,49.58665591,34.52505218
39020574,"48,530104","25,038593"
01995114,48.239394,30.89288
38223007,"50,206392","34,351927"
02004367,49.3833199,27.62982682
02006277,50.90005991,31.12783532
01982844,50.823119,25.89085
01990654,47.10978099,37.63370699
01998294,47.299744,31.79801
22563423,50.6150143,26.2130874
02004060,46.116088,32.90995262
01529122,48.265737,25.92134
23889513,49.841330,24.018671
01204147,49.095432,33.43827
20535186,48.915306,24.696548999999997
08734463,50.753747,25.30779
38469768,"49,431767","32,087304"
02124976,50.50885701,30.51024811
01999879,50.50722111,25.60495071
42582687,49.717634000000004,37.608452
05484505,49.238033,29.04611
37862109,"47,909083","33,3436363"
01995255,48.952933,32.24195
01998420,47.625908,30.97955
02006834,51.815693,31.95333
24908721,46.829167,35.755278
01995172,48.253807,32.20726
42075445,"49,962655","33,608172"
22579288,50.397394399999996,25.760614
02006596,51.498293,31.28663
02774154,51.480735,31.26246
01982637,49.485101,29.24924
43020245,50.735697200000004,25.296297600000003
42043319,"48,1112964","23,5857287"
38503179,"49,566901","34,499699"
01999788,51.59920239,26.57086958
02000398,50.583938,34.48784
40992732,"51,539115","33,365364"
42088653,"50,476851","34,971620"
01986351,47.688986,33.16169
22331468,49.8735761,24.034825
02006343,51.53113358,32.22809318
38485788,"51,676892","24,545719"
02010669,49.227652,28.44558
01992386,48.666398,22.75133
03067009,50.6134454,26.29239609
03115436,"49,212928","31,877062"
37336724,"48,973790","28,844636"
01983602,48.67984583,39.46725071
02006509,52.17931908,32.5696488
01983039,51.088393,24.52456
21751226,50.76183402,25.37879473
01993374,48.15545071,24.8116457
00191282,"49,006038","33,655758"
02000228,50.60545498,26.69127339
05484439,49.217391,28.43782
42724105,"50,723398","24,181050"
32504424,48.5060678,32.2632801
03188889,"49,741683","24,559785"
01983068,51.44089,24.43177
03069535,50.862137,26.04948
38575731,"50,889836","34,830418"
02006320,51.77378403,32.24964351
01993931,50.399861,30.51141
01994379,50.36793018,31.33793452
02005361,49.955652,32.13195
01982583,49.32931073,28.07241099
01985185,48.469718,35.18159
01987054,47.568808,34.38217
01991659,50.85590598,27.81607563
01992201,"48,623281","22,295102"
39469046,48.7382336,39.22867670000001
02006188,51.25925622,32.42082608
01982749,49.24961,28.47638
01985400,48.472576,35.18569
01991487,50.230702,28.67279
38503012,"49,578801","34,548129"
38487677,"49,758593","27,199539"
02006604,51.49776042,31.28164892
01986380,47.920388,33.43661
08734322,47.071541,37.48754
04528425,51.862628,33.48041
37899694,"48,477983","34,922999"
38816603,"49,120059","24,737964"
01994646,49.966772,31.07407
38610655,"50,605154","26,266484"
38194961,"49,071085","26,192104"
01993718,50.457086,30.50512
02003617,49.942758,36.15673
02774125,51.05323238,31.8906899
01994221,49.265248,30.59113
01998354,47.40795528,32.43568812
02009494,"49,301624","25,690270"
31437719,49.979648299999994,36.2871023
01989600,48.726744,34.63144
01991406,50.247639,28.67297
01994480,50.645867,29.92056
01982689,49.01321312,28.50364486
01990462,48.609403,37.51316
01990795,48.762722,37.59329
01991889,49.948372,29.44843
01982778,51.495934,23.91867
01998271,47.184889,31.52555
02003787,49.993785,36.24184
02004999,49.423134,32.02213
40196816,"47,938380","29,620930"
02006082,51.499664,31.27911
38527798,"50,749405","25,323738"
01985370,48.47081,35.03948
22039058,48.2045408,37.3368211
01998816,47.538786,29.46161
38644773,46.492238799999996,30.694612899999996
01986397,47.946552,33.43829
39176351,"48,922461","24,704367"
02012154,50.039936,36.24485
01995108,48.05702028,32.16124989
41935832,"49,860535","26,098969"
02006389,51.06161508,31.89566037
